Title,Link,Description
Estimating 3D Camera Pose from 2D Pedestrian Trajectories. ,http://arxiv.org/abs/1912.05758,"We consider the task of re-calibrating the 3D pose of a static surveillance
camera, whose pose may change due to external forces, such as birds, wind,
falling objects or earthquakes. Conventionally, camera pose estimation can be
solved with a PnP (Perspective-n-Point) method using 2D-to-3D feature
correspondences, when 3D points are known. However, 3D point annotations are
not always available or practical to obtain in real-world applications. We
propose an alternative strategy for extracting 3D information to solve for
camera pose by using pedestrian trajectories. We observe that 2D pedestrian
trajectories indirectly contain useful 3D information that can be used for
inferring camera pose. To leverage this information, we propose a data-driven
approach by training a neural network (NN) regressor to model a direct mapping
from 2D pedestrian trajectories projected on the image plane to 3D camera pose.
We demonstrate that our regressor trained only on synthetic data can be
directly applied to real data, thus eliminating the need to label any real
data. We evaluate our method across six different scenes from the Town Centre
Street and DUKEMTMC datasets. Our method achieves an average location error of
$0.22m$ and orientation error of $1.97^\circ$.
"
GPRInvNet: Deep Learning-Based Ground Penetrating Radar Data Inversion for Tunnel Lining. ,http://arxiv.org/abs/1912.05759,"A DNN architecture called GPRInvNet is proposed to tackle the challenge of
mapping Ground Penetrating Radar (GPR) B-Scan data to complex permittivity maps
of subsurface structure. GPRInvNet consists of a trace-to-trace encoder and a
decoder. It is specially designed to take account of the characteristics of GPR
inversion when faced with complex GPR B-Scan data as well as addressing the
spatial alignment issue between time-series B-Scan data and spatial
permittivity maps. It fuses features from several adjacent traces on the B-Scan
data to enhance each trace, and then further condense the features of each
trace separately. The sensitive zone on the permittivity map spatially aligned
to the enhanced trace is reconstructed accurately. GPRInvNet has been utilized
to reconstruct the permittivity map of tunnel linings. A diverse range of
dielectric models of tunnel lining containing complex defects has been
reconstructed using GPRInvNet, and results demonstrate that GPRInvNet is
capable of effectively reconstructing complex tunnel lining defects with clear
boundaries. Comparative results with existing baseline methods also demonstrate
the superiority of the GPRInvNet. To generalize GPRInvNet to real GPR data, we
integrated background noise patches recorded form a practical model testing
into synthetic GPR data to train GPRInvNet. The model testing has been
conducted for validation, and experimental results show that GPRInvNet achieves
satisfactory results on real data.
"
IterNet: Retinal Image Segmentation Utilizing Structural Redundancy in Vessel Networks. ,http://arxiv.org/abs/1912.05763,"Retinal vessel segmentation is of great interest for diagnosis of retinal
vascular diseases. To further improve the performance of vessel segmentation,
we propose IterNet, a new model based on UNet, with the ability to find
obscured details of the vessel from the segmented vessel image itself, rather
than the raw input image. IterNet consists of multiple iterations of a
mini-UNet, which can be 4$\times$ deeper than the common UNet. IterNet also
adopts the weight-sharing and skip-connection features to facilitate training;
therefore, even with such a large architecture, IterNet can still learn from
merely 10$\sim$20 labeled images, without pre-training or any prior knowledge.
IterNet achieves AUCs of 0.9816, 0.9851, and 0.9881 on three mainstream
datasets, namely DRIVE, CHASE-DB1, and STARE, respectively, which currently are
the best scores in the literature. The source code is available.
"
CCCNet: An Attention Based Deep Learning Framework for Categorized Crowd Counting. ,http://arxiv.org/abs/1912.05765,"Crowd counting problem that counts the number of people in an image has been
extensively studied in recent years. In this paper, we introduce a new variant
of crowd counting problem, namely ""Categorized Crowd Counting"", that counts the
number of people sitting and standing in a given image. Categorized crowd
counting has many real-world applications such as crowd monitoring, customer
service, and resource management. The major challenges in categorized crowd
counting come from high occlusion, perspective distortion and the seemingly
identical upper body posture of sitting and standing persons. Existing density
map based approaches perform well to approximate a large crowd, but lose
important local information necessary for categorization. On the other hand,
traditional detection-based approaches perform poorly in occluded environments,
especially when the crowd size gets bigger. Hence, to solve the categorized
crowd counting problem, we develop a novel attention-based deep learning
framework that addresses the above limitations. In particular, our approach
works in three phases: i) We first generate basic detection based sitting and
standing density maps to capture the local information; ii) Then, we generate a
crowd counting based density map as global counting feature; iii) Finally, we
have a cross-branch segregating refinement phase that splits the crowd density
map into final sitting and standing density maps using attention mechanism.
Extensive experiments show the efficacy of our approach in solving the
categorized crowd counting problem.
"
One Framework to Register Them All: PointNet Encoding for Point Cloud Alignment. ,http://arxiv.org/abs/1912.05766,"PointNet has recently emerged as a popular representation for unstructured
point cloud data, allowing application of deep learning to tasks such as object
detection, segmentation and shape completion. However, recent works in
literature have shown the sensitivity of the PointNet representation to pose
misalignment. This paper presents a novel framework that uses PointNet encoding
to align point clouds and perform registration for applications such as 3D
reconstruction, tracking and pose estimation. We develop a framework that
compares PointNet features of template and source point clouds to find the
transformation that aligns them accurately. In doing so, we avoid
computationally expensive correspondence finding steps, that are central to
popular registration methods such as ICP and its variants. Depending on the
prior information about the shape of the object formed by the point clouds, our
framework can produce approaches that are shape specific or general to unseen
shapes. Our framework produces approaches that are robust to noise and initial
misalignment in data and work robustly with sparse as well as partial point
clouds. We perform extensive simulation and real-world experiments to validate
the efficacy of our approach and compare the performance with state-of-art
approaches. Code is available at
https://github.com/vinits5/pointnet-registrationframework.
"
Algorithmic Price Discrimination. ,http://arxiv.org/abs/1912.05770,"We consider a generalization of the third degree price discrimination problem
studied in Bergemann et al. (2015), where an intermediary between the buyer and
the seller can design market segments to maximize any linear combination of
consumer surplus and seller revenue. Unlike in Bergemann et al. (2015), we
assume that the intermediary only has partial information about the buyer's
value. We consider three different models of information, with increasing order
of difficulty. In the first model, we assume that the intermediary's
information allows him to construct a probability distribution of the buyer's
value. Next we consider the sample complexity model, where we assume that the
intermediary only sees samples from this distribution. Finally, we consider a
bandit online learning model, where the intermediary can only observe past
purchasing decisions of the buyer, rather than her exact value. For each of
these models, we present algorithms to compute optimal or near optimal market
segmentation.
"
Envisioning Device-to-Device Communications in 6G. ,http://arxiv.org/abs/1912.05771,"To fulfill the requirements of various emerging applications, the future
sixth generation (6G) mobile network is expected to be an innately intelligent,
highly dynamic, ultradense heterogeneous network that interconnects all things
with extremely low-latency and high speed data transmission. It is believed
that artificial intelligence (AI) will be the most innovative technique that
can achieve intelligent automated network operations, management and
maintenance in future complex 6G networks. Driven by AI techniques,
device-to-device (D2D) communication will be one of the pieces of the 6G jigsaw
puzzle. To construct an efficient implementation of intelligent D2D in future
6G, we outline a number of potential D2D solutions associating with 6G in terms
of mobile edge computing, network slicing, and Non-orthogonal multiple access
(NOMA) cognitive Networking.
"
Towards Expressive Priors for Bayesian Neural Networks: Poisson Process Radial Basis Function Networks. ,http://arxiv.org/abs/1912.05779,"While Bayesian neural networks have many appealing characteristics, current
priors do not easily allow users to specify basic properties such as expected
lengthscale or amplitude variance. In this work, we introduce Poisson Process
Radial Basis Function Networks, a novel prior that is able to encode amplitude
stationarity and input-dependent lengthscale. We prove that our novel
formulation allows for a decoupled specification of these properties, and that
the estimated regression function is consistent as the number of observations
tends to infinity. We demonstrate its behavior on synthetic and real examples.
"
CLOSURE: Assessing Systematic Generalization of CLEVR Models. ,http://arxiv.org/abs/1912.05783,"The CLEVR dataset of natural-looking questions about 3D-rendered scenes has
recently received much attention from the research community. A number of
models have been proposed for this task, many of which achieved very high
accuracies of around 97-99%. In this work, we study how systematic the
generalization of such models is, that is to which extent they are capable of
handling novel combinations of known linguistic constructs. To this end, we
test models' understanding of referring expressions based on matching object
properties (such as e.g. ""the object that is the same size as the red ball"") in
novel contexts. Our experiments on the thereby constructed CLOSURE benchmark
show that state-of-the-art models often do not exhibit systematicity after
being trained on CLEVR. Surprisingly, we find that an explicitly compositional
Neural Module Network model also generalizes badly on CLOSURE, even when it has
access to the ground-truth programs at test time. We improve the NMN's
systematic generalization by developing a novel Vector-NMN module architecture
with vector-valued inputs and outputs. Lastly, we investigate the extent to
which few-shot transfer learning can help models that are pretrained on CLEVR
to adapt to CLOSURE. Our few-shot learning experiments contrast the adaptation
behavior of the models with intermediate discrete programs with that of the
end-to-end continuous models.
"
Learning Improvement Heuristics for Solving the Travelling Salesman Problem. ,http://arxiv.org/abs/1912.05784,"Recent studies in using deep learning to solve the Travelling Salesman
Problem (TSP) focus on construction heuristics, the solution of which may still
be far from optimality. To improve solution quality, additional procedures such
as sampling or beam search are required. However, they are still based on the
same construction policy, which is less effective in refining a solution. In
this paper, we propose to directly learn the improvement heuristics for solving
TSP based on deep reinforcement learning.We first present a reinforcement
learning formulation for the improvement heuristic, where the policy guides
selection of the next solution. Then, we propose a deep architecture as the
policy network based on self-attention. Extensive experiments show that,
improvement policies learned by our approach yield better results than
state-of-the-art methods, even from random initial solutions. Moreover, the
learned policies are more effective than the traditional hand-crafted ones, and
robust to different initial solutions with either high or poor quality.
"
Functional a posteriori error estimates for boundary element methods. ,http://arxiv.org/abs/1912.05789,"Functional error estimates are well-estabilished tools for a posteriori error
estimation and related adaptive mesh-refinement for the finite element method
(FEM). The present work proposes a first functional error estimate for the
boundary element method (BEM). One key feature is that the derived error
estimates are independent of the BEM discretization and provide guaranteed
lower and upper bounds for the unknown error. In particular, our analysis
covers Galerkin BEM as well as collocation, which makes our approach of
particular interest for people working in engineering. Numerical experiments
for the Laplace problem confirm the theoretical results.
"
Zooming into Face Forensics: A Pixel-level Analysis. ,http://arxiv.org/abs/1912.05790,"The stunning progress in face manipulation methods has made it possible to
synthesize realistic fake face images, which poses potential threats to our
society. It is urgent to have face forensics techniques to distinguish those
tampered images. A large scale dataset ""FaceForensics++"" has provided enormous
training data generated from prominent face manipulation methods to facilitate
anti-fake research. However, previous works focus more on casting it as a
classification problem by only considering a global prediction. Through
investigation to the problem, we find that training a classification network
often fails to capture high quality features, which might lead to sub-optimal
solutions. In this paper, we zoom in on the problem by conducting a pixel-level
analysis, i.e. formulating it as a pixel-level segmentation task. By evaluating
multiple architectures on both segmentation and classification tasks, We show
the superiority of viewing the problem from a segmentation perspective.
Different ablation studies are also performed to investigate what makes an
effective and efficient anti-fake model. Strong baselines are also established,
which, we hope, could shed some light on the field of face forensics.
"
The Extended HOA Format for Synthesis. ,http://arxiv.org/abs/1912.05793,"We propose a small extension to the Hanoi Omega-Automata format to define
reactive-synthesis problems. Namely, we add a ""controllable-AP"" header item
specifying the subset of atomic propositions which is controllable. We describe
the semantics of the new format and propose an output format for synthesized
strategies. Finally, we also comment on tool support meant to encourage fast
adoption of the extended Hanoi Omega-Automata format for synthesis.
"
Automatic Layout Generation with Applications in Machine Learning Engine Evaluation. ,http://arxiv.org/abs/1912.05796,"Machine learning-based lithography hotspot detection has been deeply studied
recently, from varies feature extraction techniques to efficient learning
models. It has been observed that such machine learning-based frameworks are
providing satisfactory metal layer hotspot prediction results on known public
metal layer benchmarks. In this work, we seek to evaluate how these machine
learning-based hotspot detectors generalize to complicated patterns. We first
introduce a automatic layout generation tool that can synthesize varies layout
patterns given a set of design rules. The tool currently supports both metal
layer and via layer generation. As a case study, we conduct hotspot detection
on the generated via layer layouts with representative machine learning-based
hotspot detectors, which shows that continuous study on model robustness and
generality is necessary to prototype and integrate the learning engines in DFM
flows. The source code of the layout generation tool will be available at
https://github. com/phdyang007/layout-generation.
"
Single-Stage Regulated Resonant WPT Receiver with Low Harmonic Distortion AC Voltage and Continuous DC Current. ,http://arxiv.org/abs/1912.05809,"Resonant rectifier topologies would be a promising candidate for achieving
simple, compact, and reliable single-stage wireless power transfer (WPT)
receiver if not for the lack of good DC regulation capability. This paper
investigates the problems that prevent the feasibility of single-stage DC
regulation in resonant rectifier topologies. A possible solution is the
proposed differential resonant rectifier topology, of which the rectifier is
designed to have a relatively constant AC voltage, and that phase shift control
is used to achieve relatively good output regulation. Design considerations on
the reactive component sizing, magnetic component design, frequency and phase
synchronization, small signal modelling, and closed-loop feedback control
design, are discussed. Experimental results verified that the proposed WPT
receiver system can achieve single-stage AC rectification and DC regulation
while attaining the key features of low harmonic distortion in its AC output
voltage, continuous DC current, and zero-voltage-switching (ZVS) operation over
a wide operating range.
"
An Integral Representation of the Logarithmic Function with Applications in Information Theory. ,http://arxiv.org/abs/1912.05812,"We explore a well-known integral representation of the logarithmic function,
and demonstrate its usefulness in obtaining compact, easily-computable exact
formulas for quantities that involve expectations and higher moments of the
logarithm of a positive random variable (or the logarithm of a sum of such
random variables). The integral representation of the logarithm is proved
useful in a variety of information-theoretic applications, including universal
lossless data compression, entropy and differential entropy evaluations, and
the calculation of the ergodic capacity of the single-input, multiple-output
(SIMO) Gaussian channel with random parameters (known to both transmitter and
receiver). This integral representation and its variants are anticipated to
serve as a useful tool in additional applications, as a rigorous alternative to
the popular (but non-rigorous) replica method (at least in some situations).
"
Single-Switch-Regulated Resonant WPT Receiver. ,http://arxiv.org/abs/1912.05814,"A single-switch-regulated wireless power transfer (WPT) receiver is presented
in this letter. Aiming at low-cost applications, the system involves only a
single-switch class-E resonant rectifier, a frequency synchronization circuit,
and a microcontroller. The number of power semiconductor devices required in
this circuit is minimal. Only one active switch is used and no diode is
required. As a single-switch solution, this simplifies circuit implementation,
improves reliability, and lowers hardware cost. The single-switch resonant
rectifier provides a relatively constant quasi-sinusoidal voltage waveform to
pick up the wireless power from the receiver coil. Due to the resonant nature
of the rectifier, ZVS turn on and turn off are achieved. The steady-state
analysis and discussions on the component sizing and the control design are
provided. A prototype is built and experimental works are performed to verify
the features.
"
On depth spectra of constacyclic codes over finite commutative chain rings. ,http://arxiv.org/abs/1912.05815,"The depth of a sequence plays an important role in studying its linear
complexity in game theory, communication theory and cryptography. In this
paper, we determine depth spectra of all repeated-root $(\alpha+\gamma
\beta)$-constacyclic codes of arbitrary lengths over a finite commutative chain
ring $\mathcal{R},$ where $\alpha$ is a non-zero element of the Teichm\""{u}ller
set of $\mathcal{R}$ and $\beta$ is a unit in $\mathcal{R}.$ We also illustrate
our results with some examples.
"
The Lexicographic Method for the Threshold Cover Problem. ,http://arxiv.org/abs/1912.05819,"The lexicographic method is a technique that was introduced by Hell and Huang
[Journal of Graph Theory, 20(3):361--374, 1995] as a way to simplify the
problems of recognizing and obtaining representations of comparability graphs,
proper circular-arc graphs and proper interval graphs. This method gives rise
to conceptually simple recognition algorithms and leads to much simpler proofs
for some characterization theorems for these classes. Threshold graphs are a
class of graphs that have many equivalent definitions and have applications in
integer programming and set packing problems. A graph is said to have a
threshold cover of size $k$ if its edges can be covered using $k$ threshold
graphs. Chv\'atal and Hammer conjectured in 1977 that given a graph $G$, a
suitably constructed auxiliary graph $G'$ has chromatic number equal to the
minimum size of a threshold cover of $G$. Although Cozzens and Leibowitz showed
that this conjecture is false in the general case, Raschle and Simon
[Proceedings of the Twenty-seventh Annual ACM Symposium on Theory of Computing,
STOC '95, pages 650--661, 1995] proved that $G$ has a threshold cover of size 2
if and only if $G'$ is bipartite. We show how the lexicographic method can be
used to obtain a completely new and much simpler proof for this result. This
method also gives rise to a simple new LexBFS-based algorithm for recognizing
graphs having a threshold cover of size 2. Although this algorithm is not the
fastest known, it is a certifying algorithm that matches the time complexity of
the fastest known certifying algorithm for this problem. The algorithm can also
be easily adapted to give a certifying recognition algorithm for bipartite
graphs that can be covered by two chain subgraphs.
"
A Reconstructed Discontinuous Approximation to Monge-Ampere Equation in Least Square Formation. ,http://arxiv.org/abs/1912.05822,"We propose a numerical method to solve the Monge-Ampere equation which admits
a classical convex solution. The Monge-Ampere equation is reformulated into an
equivalent first-order system. We adopt a novel reconstructed discontinuous
approximation space which consists of piecewise irrotational polynomials. This
space allows us to solve the first order system in two sequential steps. In the
first step, we solve a nonlinear system to obtain the approximation to the
gradient. A Newton iteration is adopted to handle the nonlinearity in the
system. The approximation to the primitive variable is obtained from the
approximate gradient by a trivial least squares finite element method in the
second step. Numerical examples in both two dimensions and three dimensions are
presented to show an optimal convergence rate in accuracy. It is interesting to
observe that the approximate solution is piecewise convex in each element.
Particularly, with the reconstructed approximation space, the proposed method
demonstrates a remarkable robustness. The convergence of the Newton iteration
does not rely on the initial values, which shows a very different behaviour
from references. The dependence of the convergence on the penalty parameter in
the discretization is also negligible, in comparison to the classical
discontinuous approximation space.
"
Smart Contract Repair. ,http://arxiv.org/abs/1912.05823,"Smart contracts are automated or self-enforcing contracts that can be used to
exchange money, property, or anything of value without having to place trust in
third parties. Many commercial transactions presently make use of smart
contracts due to their potential benefits in enabling parties to engage in
secure peer-to-peer transactions independent of external parties. They do so by
transferring trust to computer programs (smart contracts), raising the question
of whether these programs can be fully trusted. However, the code can be
complex and may behave in many different unexpected or malicious ways due to
poorly written or vulnerable smart contracts. Furthermore, in the case of smart
contracts on the blockchain, they are typically open to (malicious) agents
which can interact with it in various ways. Experience shows that many commonly
used smart contracts are vulnerable to serious malicious attacks which may
enable attackers to steal valuable assets of involved parties. There is
therefore a need to apply analysis techniques to detect and repair bugs in
smart contracts before being deployed. In this work, we present the first
automated smart contracts repair approach that is gas-optimized and
vulnerability-agnostic. Our repair method is search-based and considers the gas
usage of the candidate patches via leveraging our novel notation of \emph{gas
dominance relationship}. Our approach can be used to optimise the overall
security and reliability of smart contracts against malicious attackers.
"
Efficient Approximation of the Matching Distance for 2-parameter persistence. ,http://arxiv.org/abs/1912.05826,"The matching distance is a computationally tractable topological measure to
compare multi-filtered simplicial complexes. We design efficient algorithms for
approximating the matching distance of two bi-filtered complexes to any desired
precision $\epsilon&gt;0$. Our approach is based on a quad-tree refinement
strategy introduced by Biasotti et al., but we recast their approach entirely
in geometric terms. This point of view leads to several novel observations
resulting in a practically faster algorithm. We demonstrate this speed-up by
experimental comparison and provide our code in a public repository which
provides the first efficient publicly available implementation of the matching
distance.
"
An Efficient Explorative Sampling Considering the Generative Boundaries of Deep Generative Neural Networks. ,http://arxiv.org/abs/1912.05827,"Deep generative neural networks (DGNNs) have achieved realistic and
high-quality data generation. In particular, the adversarial training scheme
has been applied to many DGNNs and has exhibited powerful performance. Despite
of recent advances in generative networks, identifying the image generation
mechanism still remains challenging. In this paper, we present an explorative
sampling algorithm to analyze generation mechanism of DGNNs. Our method
efficiently obtains samples with identical attributes from a query image in a
perspective of the trained model. We define generative boundaries which
determine the activation of nodes in the internal layer and probe inside the
model with this information. To handle a large number of boundaries, we obtain
the essential set of boundaries using optimization. By gathering samples within
the region surrounded by generative boundaries, we can empirically reveal the
characteristics of the internal layers of DGNNs. We also demonstrate that our
algorithm can find more homogeneous, the model specific samples compared to the
variations of {\epsilon}-based sampling method.
"
Formal Verification of Debates in Argumentation Theory. ,http://arxiv.org/abs/1912.05828,"Humans engage in informal debates on a daily basis. By expressing their
opinions and ideas in an argumentative fashion, they are able to gain a deeper
understanding of a given problem and in some cases, find the best possible
course of actions towards resolving it. In this paper, we develop a methodology
to verify debates formalised as abstract argumentation frameworks. We first
present a translation from debates to transition systems. Such transition
systems can model debates and represent their evolution over time using a
finite set of states. We then formalise relevant debate properties using
temporal and strategy logics. These formalisations, along with a debate
transition system, allow us to verify whether a given debate satisfies certain
properties. The verification process can be automated using model checkers.
Therefore, we also measure their performance when verifying debates, and use
the results to discuss the feasibility of model checking debates.
"
Reliable Wide-Area Backscatter via Channel Polarization. ,http://arxiv.org/abs/1912.05829,"A long-standing vision of backscatter communications is to provide long-range
connectivity and high-speed transmissions for batteryless Internet-of-Things
(IoT). Recent years have seen major innovations in designing backscatters
toward this goal. Yet, they either operate at a very short range, or experience
extremely low throughput. This paper takes one step further toward breaking
this stalemate, by presenting PolarScatter that exploits channel polarization
in long-range backscatter links. We transform backscatter channels into nearly
noiseless virtual channels through channel polarization, and convey bits with
extremely low error probability. Specifically, we propose a new polar code
scheme that automatically adapts itself to different channel quality, and
design a low-cost encoder to accommodate polar codes on resource-constrained
backscatter tags. We build a prototype PCB tag and test it in various outdoor
and indoor environments. Our experiments show that our prototype achieves up to
10$\times$ throughput gain, or extends the range limit by 1.8$\times$ compared
with the state-of-the-art long-range backscatter solution. We also simulate an
IC design in TSMC 65 nm LP CMOS process. Compared with traditional encoders,
our encoder reduces storage overhead by three orders of magnitude, and lowers
the power consumption to tens of microwatts.
"
Provably Efficient Exploration in Policy Optimization. ,http://arxiv.org/abs/1912.05830,"While policy-based reinforcement learning (RL) achieves tremendous successes
in practice, it is significantly less understood in theory, especially compared
with value-based RL. In particular, it remains elusive how to design a provably
efficient policy optimization algorithm that incorporates exploration. To
bridge such a gap, this paper proposes an Optimistic variant of the Proximal
Policy Optimization algorithm (OPPO), which follows an ""optimistic version"" of
the policy gradient direction. This paper proves that, in the problem of
episodic Markov decision process with linear function approximation, unknown
transition, and adversarial reward with full-information feedback, OPPO
achieves $\tilde{O}(\sqrt{d^3 H^3 T})$ regret. Here $d$ is the feature
dimension, $H$ is the episode horizon, and $T$ is the total number of steps. To
the best of our knowledge, OPPO is the first provably efficient policy
optimization algorithm that explores.
"
STEERAGE: Synthesis of Neural Networks Using Architecture Search and Grow-and-Prune Methods. ,http://arxiv.org/abs/1912.05831,"Neural networks (NNs) have been successfully deployed in many applications.
However, architectural design of these models is still a challenging problem.
Moreover, neural networks are known to have a lot of redundancy. This increases
the computational cost of inference and poses an obstacle to deployment on
Internet-of-Thing sensors and edge devices. To address these challenges, we
propose the STEERAGE synthesis methodology. It consists of two complementary
approaches: efficient architecture search, and grow-and-prune NN synthesis. The
first step, covered in a global search module, uses an accuracy predictor to
efficiently navigate the architectural search space. The predictor is built
using boosted decision tree regression, iterative sampling, and efficient
evolutionary search. The second step involves local search. By using various
grow-and-prune methodologies for synthesizing convolutional and feed-forward
NNs, it reduces the network redundancy, while boosting its performance. We have
evaluated STEERAGE performance on various datasets, including MNIST and
CIFAR-10. On MNIST dataset, our CNN architecture achieves an error rate of
0.66%, with 8.6x fewer parameters compared to the LeNet-5 baseline. For the
CIFAR-10 dataset, we used the ResNet architectures as the baseline. Our
STEERAGE-synthesized ResNet-18 has a 2.52% accuracy improvement over the
original ResNet-18, 1.74% over ResNet-101, and 0.16% over ResNet-1001, while
having comparable number of parameters and FLOPs to the original ResNet-18.
This shows that instead of just increasing the number of layers to increase
accuracy, an alternative is to use a better NN architecture with fewer layers.
In addition, STEERAGE achieves an error rate of just 3.86% with a variant of
ResNet architecture with 40 layers. To the best of our knowledge, this is the
highest accuracy obtained by ResNet-based architectures on the CIFAR-10
dataset.
"
Speech-driven facial animation using polynomial fusion of features. ,http://arxiv.org/abs/1912.05833,"Speech-driven facial animation involves using a speech signal to generate
realistic videos of talking faces. Recent deep learning approaches to facial
synthesis rely on extracting low-dimensional representations and concatenating
them, followed by a decoding step of the concatenated vector. This accounts for
only first-order interactions of the features and ignores higher-order
interactions. In this paper we propose a polynomial fusion layer that models
the joint representation of the encodings by a higher-order polynomial, with
the parameters modelled by a tensor decomposition. We demonstrate the the
suitability of this approach through experiments on generated videos evaluated
on a range of metrics on video quality, audiovisual synchronisation and
generation of blinks.
"
Evaluation of Chebyshev polynomials on intervals and application to root finding. ,http://arxiv.org/abs/1912.05843,"In approximation theory, it is standard to approximate functions by
polynomials expressed in the Chebyshev basis. Evaluating a polynomial $f$ of
degree n given in the Chebyshev basis can be done in $O(n)$ arithmetic
operations using the Clenshaw algorithm. Unfortunately, the evaluation of $f$
on an interval $I$ using the Clenshaw algorithm with interval arithmetic
returns an interval of width exponential in $n$. We describe a variant of the
Clenshaw algorithm based on ball arithmetic that returns an interval of width
quadratic in $n$ for an interval of small enough width. As an application, our
variant of the Clenshaw algorithm can be used to design an efficient root
finding algorithm.
"
Local Context Normalization: Revisiting Local Normalization. ,http://arxiv.org/abs/1912.05845,"Normalization layers have been shown to improve convergence in deep neural
networks. In many vision applications the local spatial context of the features
is important, but most common normalization schemes includingGroup
Normalization (GN), Instance Normalization (IN), and Layer Normalization (LN)
normalize over the entire spatial dimension of a feature. This can wash out
important signals and degrade performance. For example, in applications that
use satellite imagery, input images can be arbitrarily large; consequently, it
is nonsensical to normalize over the entire area. Positional Normalization
(PN), on the other hand, only normalizes over a single spatial position at a
time. A natural compromise is to normalize features by local context, while
also taking into account group level information. In this paper, we propose
Local Context Normalization (LCN): a normalization layer where every feature is
normalized based on a window around it and the filters in its group. We propose
an algorithmic solution to make LCN efficient for arbitrary window sizes, even
if every point in the image has a unique window. LCN outperforms its Batch
Normalization (BN), GN, IN, and LN counterparts for object detection, semantic
segmentation, and instance segmentation applications in several benchmark
datasets, while keeping performance independent of the batch size and
facilitating transfer learning.
"
The Benefits of Close-Domain Fine-Tuning for Table Detection in Document Images. ,http://arxiv.org/abs/1912.05846,"A correct localisation of tables in a document is instrumental for
determining their structure and extracting their contents; therefore, table
detection is a key step in table understanding. Nowadays, the most successful
methods for table detection in document images employ deep learning algorithms;
and, particularly, a technique known as fine-tuning. In this context, such a
technique exports the knowledge acquired to detect objects in natural images to
detect tables in document images. However, there is only a vague relation
between natural and document images, and fine-tuning works better when there is
a close relation between the source and target task. In this paper, we show
that it is more beneficial to employ fine-tuning from a closer domain. To this
aim, we train different object detection algorithms (namely, Mask R-CNN,
RetinaNet, SSD and YOLO) using the TableBank dataset (a dataset of images of
academic documents designed for table detection and recognition), and fine-tune
them for several heterogeneous table detection datasets. Using this approach,
we considerably improve the accuracy of the detection models fine-tuned from
natural images (in mean a 17%, and, in the best case, up to a 60%).
"
"EPIC: An Energy-Efficient, High-Performance GPGPU Computing Research Infrastructure. ",http://arxiv.org/abs/1912.05848,"The pursuit of many research questions requires massive computational
resources. State-of-the-art research in physical processes using simulations,
the training of neural networks for deep learning, or the analysis of big data
are all dependent on the availability of sufficient and performant
computational resources. For such research, access to a high-performance
computing infrastructure is indispensable. Many scientific workloads from such
research domains are inherently parallel and can benefit from the data-parallel
architecture of general purpose graphics processing units (GPGPUs). However,
GPGPU resources are scarce at Norway's national infrastructure. EPIC is a GPGPU
enabled computing research infrastructure at NTNU. It enables NTNU's
researchers to perform experiments that otherwise would be impossible, as
time-to-solution would simply take too long.
"
Exploiting Statistical and Structural Features for the Detection of Domain Generation Algorithms. ,http://arxiv.org/abs/1912.05849,"Nowadays, malware campaigns have reached a high level of sophistication,
thanks to the use of cryptography and covert communication channels over
traditional protocols and services. In this regard, a typical approach to evade
botnet identification and takedown mechanisms is the use of domain fluxing
through the use of Domain Generation Algorithms (DGAs). These algorithms
produce an overwhelming amount of domain names that the infected device tries
to communicate with to find the Command and Control server, yet only a small
fragment of them is actually registered. Due to the high number of domain
names, the blacklisting approach is rendered useless. Therefore, the botmaster
may pivot the control dynamically and hinder botnet detection mechanisms. To
counter this problem, many security mechanisms result in solutions that try to
identify domains from a DGA based on the randomness of their name.
</p>
<p>In this work, we explore hard to detect families of DGAs, as they are
constructed to bypass these mechanisms. More precisely, they are based on the
use of dictionaries so the domains seem to be user-generated. Therefore, the
corresponding generated domains pass many filters that look for, e.g. high
entropy strings. To address this challenge, we propose an accurate and
efficient probabilistic approach to detect them. We test and validate the
proposed solution through extensive experiments with a sound dataset containing
all the wordlist-based DGA families that exhibit this behaviour and compare it
with other state-of-the-art methods, practically showing the efficacy and
prevalence of our proposal.
"
PEEPLL: Privacy-Enhanced Event Pseudonymisation with Limited Linkability. ,http://arxiv.org/abs/1912.05861,"Pseudonymisation provides the means to reduce the privacy impact of
monitoring, auditing, intrusion detection, and data collection in general on
individual subjects. Its application on data records, especially in an
environment with additional constraints, like re-identification in the course
of incident response, implies assumptions and privacy issues, which contradict
the achievement of the desirable privacy level. Proceeding from two real-world
scenarios, where personal and identifying data needs to be processed, we
identify requirements as well as a system model for pseudonymisation and
explicitly state the sustained privacy threats, even when pseudonymisation is
applied. With this system and threat model, we derive privacy protection goals
together with possible technical realisations, which are implemented and
integrated into our event pseudonymisation framework PEEPLL for the context of
event processing, like monitoring and auditing of user, process, and network
activities. Our framework provides privacy-friendly linkability in order to
maintain the possibility for automatic event correlation and evaluation, while
at the same time reduces the privacy impact on individuals. Additionally, the
pseudonymisation framework is evaluated in order to provide some restrained
insights on the impact of assigned paradigms and all necessary new mechanisms
on the performance of monitoring and auditing. With this framework, privacy
provided by event pseudonymisation can be enhanced by a more rigorous
commitment to the concept of personal data minimisation, especially in the
context of regulatory requirements like the European General Data Protection
Regulation.
"
